Title,Article
"Coimbatore - Latest News, Politics, Events, Entertainment",
"
வீடியோ
",
"Kerala - Latest news, Live Updates, Politics, Events","Drunk man lifts bus, meets with accident

A man in an inebriated condition who wanted to quickly reach his house at Attingal from Kollam city late in the night on Sunday hit upon the idea of driving a KSRTC bus home. Many buses, with the switch keys left on the dashboard, had been parked along Link Road at Asramam across the KSRTC depot. Any bus was an easy pick.Aloysius, 25, chose a fast passenger that was scheduled to make a trip to Thiruvananthapuram in the morning. With ease and confidence, he negotiated the bus through Asramam and"
"Andhra Pradesh - Latest news, Live Updates, Politics, Events","Youth booked for social media post on Chief Minister

The Kuppam Circle police arrested a youth of Shantipuram mandal in Kuppam Assembly constituency a couple of days ago, and let him off on bail, on charges of posting objectionable content in the social media against Chief minister N. Chandrababu Naidu.The youth, in his early 20s, said to be a supporter of the Opposition YSR Congress Party, had reportedly been posting morphed photographs of the Chief Minister on the social media, depicting him in bad light such as different sections of public"
"Trichy - Latest News, Politics, Events, Entertainment",
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"India States - Latest news, Live Updates, Politics, Events","Former Manipur CM Rishang Keishing dead

Former Manipur Chief Minister and a member of the first Lok Sabha Rishang Keishing passed away on Tuesday, following a brief illness here. The veteran Congress leader was 96. A Naga, he served as the Chief Minister of Manipur from 1980 to 1988 and from 1994 to 1997. PTIKeishing passed away around 8.15 p.m. due to multiple organ failure, doctors attending him at the Regional Institute of Medical Sciences (RIMS) said.He was hospitalised on July 1 after his health condition worsened.He is survived"
"Latest Regional News, Politics, Events, Entertainment","Will not summon or arrest Yeddyurappa till Monday, ACB assures HC

The Anti-Corruption Bureau on Wednesday gave an undertaking to the Karnataka High Court that it will neither summon nor arrest former Chief Minister B.S. Yeddyurappa till August 28 in connection with the two cases registered against him on alleged illegal denotification of acquired lands when he was the Chief Minister.Senior counsel for the ACB gave this undertaking when counsel for Mr. Yeddyurappa pointed out to the court that the ACB had on August 21 issued notice to Mr. Yeddyurappa asking"
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Tamil Nadu - Latest news, Live Updates, Politics, Events","‘Proposal on CM an attempt to play the Dalit card’

The suggestion by jailed AIADMK leader V.K. Sasikala’s brother Divakaran to replace Chief Minister Edappadi K Palaniswami with Speaker P Dhanapal has triggered a debate in the party on whether the Dhinakaran camp was playing the Dalit card.Mr. Dhanapal, who was elected from the Avinashi constituency of the western region in the 2016 Assembly polls, belongs to the Arundathiar community.Out of the 19 MLAs who submitted letters to the Governor withdrawing their support to Mr. Palaniswami, eight"
"Kochi - Latest News, Politics, Events, Entertainment",
