Title,Article
Latest news updates from major cities of India,"The resilience of a city invariably depends on how well it has been planned and built. The floods of 2015 brought to the fore the need for better urban planning. On the occasion of Madras Week, here’s a look at how the city can fortify itself against calamities"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Kochi - Latest News, Politics, Events, Entertainment",
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Mangalore - Latest News, Politics, Events, Entertainment",
வீடியோ News,
"Karnataka - Latest news, Live Updates, Politics, Events","DySP suicide case: BJP demands CBI probe

The Bharatiya Janata Party (BJP) has demanded that the episode of alleged suicide of Dy SP M.K. Ganapathi should be handed over to the CBI for a thorough inquiry in the wake of report that Forensic Science Laboratory (FSL) has found destruction of some crucial evidence related to the case.Addressing a press conference here on Thursday, BJP state president B.S. Yeddyurappa described this as a criminal act and urged Chief Minister Siddaramaiah to take moral responsibility and resign.He also"
"Kerala - Latest news, Live Updates, Politics, Events","Lord Ayyappa is close to my heart and very special to me, says singer"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Kolkata - Latest News, Politics, Events, Entertainment",
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Puducherry - Latest News, Politics, Events, Entertainment",
"Bengaluru - Latest News, Politics, Events, Entertainment","Rock on the Range concert: Wish you were here

Rock on the Range paid tribute to Chris Cornell with a video montage, audio from his performances and a special acoustic set by American rockers Stone Sour"
"Kozhikode - Latest News, Politics, Events, Entertainment",
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"Chennai - Latest News, Politics, Events, Entertainment","As a few of us sat talking about Madras Week’s programmes and agreed one of the most interesting walks would be Govi Lenin’s Justice Party Trail in T Nagar, someone suggested that it wasn’t too late to do a Subramania Bharati Trail in Madras. That would include his house, the Triplicane Parthasarathy Temple, the Triplicane Beach, the Swadesamitran’s former office site, G Kasturi Iyengar’s guest house, and, most significant of all, the place where The India Printing Press was (a location that’s a"
"India Latest News, Live Updates, Politics, Governance, Law","BJP chief Amit Shah and Union minister Smriti Irani on Friday took oath as Rajya Sabha members.Rajya Sabha Chairman M. Venkaiah Naidu administered the oath to Mr. Shah and Ms. Irani in his chamber.Mr.Shah is making his debut in Parliament. Both were elected to the upper house from Gujarat earlier this month.They were accompanied by Parliamentary Affairs Minister Ananth Kumar, Finance Minister Arun Jaitley and Law Minister Ravi Shankar Prasad among"
"Madurai - Latest News, Politics, Events, Entertainment",
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
