Title,Article
"Madurai - Latest News, Politics, Events, Entertainment",
"Chennai - Latest News, Politics, Events, Entertainment","A splendid opportunity to discuss this was offered by the international seminar recently organised by IIT’s Department of Humanities and Social Sciences but was not taken. Instead, the unfortunately titled event, ‘Midnight’s Orphans’, took the academic route of literature, cinema, individual case studies etc.The question was raised at the curtain-raiser itself and answered with the official All-India Anglo-Indian Association view propagated by Frank Anthony pre-Independence. That view holds that"
"Telangana - Latest news, Live Updates, Politics, Events",Award to be presented to Chandrasekhar Rao in New Delhi on September 5
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Getting to know the stalwart of the Dravidian movement

The night before C.N. Annadurai took over as the Chief Minister of the State he was highly stressed and struggled to sleep. “He could only visualise people in slums wandering without food. Scarcity of rice was a major problem then and he wondered how he could change it. Chief Ministers like that did exist then,” R. Kannan, who penned Anna’s biography Anna: the Life and Times, said here on Friday.As part of the Madras Week Lectures organised by Roja Muthiah Research Library, he spoke on the topic"
"Kochi - Latest News, Politics, Events, Entertainment",
"Puducherry - Latest News, Politics, Events, Entertainment",
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Kolkata - Latest News, Politics, Events, Entertainment",
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Trichy - Latest News, Politics, Events, Entertainment",
"Mangalore - Latest News, Politics, Events, Entertainment",
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
Latest news updates from major cities of India,"Getting to know the stalwart of the Dravidian movement

The night before C.N. Annadurai took over as the Chief Minister of the State he was highly stressed and struggled to sleep. “He could only visualise people in slums wandering without food. Scarcity of rice was a major problem then and he wondered how he could change it. Chief Ministers like that did exist then,” R. Kannan, who penned Anna’s biography Anna: the Life and Times, said here on Friday.As part of the Madras Week Lectures organised by Roja Muthiah Research Library, he spoke on the topic"
"Karnataka - Latest news, Live Updates, Politics, Events","RSS activist’s murder case: Two more arrests made

The Dakshina Kannada police have arrested two more persons in connection with the murder of RSS activist Sharath Madiwala, on Saturday.The police gave the names of the arrested persons as Suhail and Sadiq, both residents of Hassan. The two are accused of harbouring persons involved in the murder.RSS activist Sharath Madiwala died following assault by a group of persons at his laundry on B.C. Road, near Mangaluru, on July 4. This attack was few days after murder of SDPI activist Mohammed Ashraf"
International News,"Police said on Sunday they have found more than 120 gas canisters in a house in Alcanar, where suspects of this week’s twin assaults in Spain were"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"India States - Latest news, Live Updates, Politics, Events","Goa’s Ganpati festival: ecological concerns linger

Goa led the way when it came to banning plaster of Paris idols, but how successful has it been?"
Author News,"Beyond boundaries

In a little over a week, the action will unfold once again as the Covelong Point Surf, Music and Yoga Festival returns for the fifth year"
"Kerala - Latest news, Live Updates, Politics, Events",The export of fruits and vegetables to West Asia through the three airports in the State has come to a standstill.The exorbitant prices of perishables
வீடியோ News,
