Title,Article
Latest news updates from major cities of India,‘BJP does not have any ideals and its leaders are trying to encash on emotions of people through their Hindutva politics’
"Latest Regional News, Politics, Events, Entertainment","Chandigarh stalking case accused sent to police custody

Vikas Barala, son of Haryana BJP chief Subhash Barala, and his friend, Ashish Kumar, both facing charges of stalking and attempted abduction of a 29 year-old woman were on Thursday remanded to two-day police custody by a local court.Chandigarh police produced the accused at the Sector 43 district court here and sought their custody, as it was required to reconstruct the crime scene and verify facts. Both the accused were remanded to police custody till August 12 by Civil judge Barjinder Pal"
"Puducherry - Latest News, Politics, Events, Entertainment",
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"Kerala - Latest news, Live Updates, Politics, Events","Director-actor Sidharth Bharathan returns to the marquee after a gap with the curiously-titled Varnyathil Aashanka

Sanalkumar Sasidharan, one of the most successful ambassadors of independent cinema in Malayalam, on his new film ‘Unmadiyude Maranam’ and the space in which his films are born"
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Mangalore - Latest News, Politics, Events, Entertainment",
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Madurai - Latest News, Politics, Events, Entertainment",
"Kochi - Latest News, Politics, Events, Entertainment",
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"India States - Latest news, Live Updates, Politics, Events","Sharmila Tagore files complaint to claim Bhopal royal property

Veteran actress Sharmila Tagore has filed a complaint on behalf of the Bhopal royal family against occupants of a prime residential property in the picturesque Koh-e-Fiza area , following which the district administration has issued notices to them.Sharmila, wife of cricketer Mansoor Ali Khan Pataudi Saif Ali Khan’s mother, has claimed ownership of the property.Pataudi was the rightful heir of the royal family of Bhopal’s princely state as he was the grandson of the last Nawab of Bhopal,"
வீடியோ News,
"Karnataka - Latest news, Live Updates, Politics, Events","High Court grants anticipatory bail to Kumaraswamy

The High Court of Karnataka on Thursday granted anticipatory bail to the former Chief Minister H.D. Kumaraswamy in a case registered against him by the Special Investigation Team (SIT) of the Lokayukta for alleged misuse of his office to show a favour to a mining company when he was the Chief Minister.Justice Rathnakala passed the order while allowing Mr. Kumaraswamy’s petition. The court, however, directed Mr. Kumaraswamy to mark his attendance with the SIT every alternative Monday for the next"
"Kolkata - Latest News, Politics, Events, Entertainment",
"Telangana - Latest news, Live Updates, Politics, Events","VHR to go on fast

Former Rajya Sabha member V. Hanmantha Rao has threatened to go on fast-unto-death at Nerella, if the State Government failed to act against the Rajanna Sircilla SP and other police officials accused of using excessive force on the dalits and others.Mr. Rao, who visited the temple town of Vemulawada and interacted with families of the victims who were allegedly beaten up by the police, sought to know why no action was taken against erring officials. He said merely suspending a Sub-Inspector of"
"Tamil Nadu - Latest news, Live Updates, Politics, Events","RSS wants India to become world leader by strengthening unity

The Rashtriya Swayamsevak Sangh wants India to become the world leader by making it stronger through unity, its chief Mohan Bhagwat has said.Referring to the fall of the erstwhile USSR, he said the RSS did not want India to be a “superpower like that”, but a strong world leader, a “guru”.He was addressing over 4,000 swayamsevaks at a meeting (Bashti Shakti Sangamam) here last night.Quoting Mr. Bhagwat, the RSS said in a release it was not a political organisation and was also not participating"
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
International News,North Korea claims it is in the final stages of preparing a plan to launch four intermediate-range ballistic missiles over Japan and into waters just off the island of Guam.
"Chennai - Latest News, Politics, Events, Entertainment","What do you know about Campbellabad, I was asked the other day. Thinking I still knew the Political Geography I had once specialised in, “It’s a town in Pakistan,” I casually answered. Only to be told it’s a 300-year-old village in Tuticorin District. When my caller wanted to know whether what the locals had told him, that it was named after a Madras Governor, was correct, I was a little more careful. “I think Governor Campbell was some time later but let me check,” I hesitantly answered.So"
"India Latest News, Live Updates, Politics, Governance, Law","If the exit of the Nitish Kumar-led Janata Dal (United) from the group of 18 parties that have been working together to challenge the Modi government will cast its shadow on a meeting of the Opposition scheduled to be held here on Friday evening, another crack may have just appeared in their unity. Sources close to Congress MP Ahmed Patel hinted that the 44th winning vote he received in the recent Rajya Sabha poll was probably not from one of the two Nationalist Congress Party legislators, but"
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
