Title,Article
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Kochi - Latest News, Politics, Events, Entertainment",
"Kolkata - Latest News, Politics, Events, Entertainment",
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Andhra Pradesh - Latest news, Live Updates, Politics, Events",They don’t want to wake up to another death or move out of their village
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Mangalore - Latest News, Politics, Events, Entertainment",
"India Latest News, Live Updates, Politics, Governance, Law","In a majority 3:2 judgment, a five-judge Bench of the Supreme Court on Tuesday set aside talaq-e-biddat or instant and irrevocable talaq as a ""manifestly arbitrary"" practice, which is not protected by Article 25 (freedom of religion) of the Constitution.Justices Kurian Joseph and Rohinton Fali Nariman gave separate judgments against the validity of instant talaq, and Justice U.U. Lalit has supported Justice Nariman's judgment. This makes up the triumvirate of judges who ruled against instant"
"Telangana - Latest news, Live Updates, Politics, Events","Urging elected representatives to aim for ‘Rama Rajya’, Venkaiah Naidu tells the two Chief Ministers to work in tandem for development"
"India States - Latest news, Live Updates, Politics, Events","Boulder falls on train near Lonavla; 3 hurt

Three passengers were injured when a boulder fell on a coach of the Mumbai-bound Hubballi-LTT Express near Lonavla in Mumbai division of Central Railway early this morning, an official said.The large rock came crashing on the train when it was moving at a restricted speed between Monkey Hill and Thakurwadi stations around 5.30 am, Central Railway’s Chief PRO Sunil Udasi said.The boulder pierced the roof of the train and fell in the middle of S6 coach injuring three passengers, he said. The"
வீடியோ News,
"Puducherry - Latest News, Politics, Events, Entertainment",
Resources News,"Acceptance Speech of Roda Mehta, AAAI Lifetime Award Winner 2017

Nakul Chopra and the Managing Committee of the Advertising Agencies Association of India, Ashish Bhasin and members of the Selection Committee, and the many who have graced this occasion with your presence.It never ever occurred to me that one day I would be back again before you! This award has come as an unexpected surprise, for in the past 19 years since I left this industry, I have thought and worked on much else than advertising!You are honoring me for much today. As far as I can remember,"
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Modi greets OPS, assures all help

The BJP was quick to sidestep any suggestion that it had done any handholding for the merger to take place."
Author News,"Beyond boundaries

In a little over a week, the action will unfold once again as the Covelong Point Surf, Music and Yoga Festival returns for the fifth year"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Karnataka - Latest news, Live Updates, Politics, Events","As his 75th birthday approaches, Dwarakeesh looks back and ahead. The small-made man from Mysuru has gone on to become a phenomenal success in Kannada films"
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Bengaluru - Latest News, Politics, Events, Entertainment","Rock on the Range concert: Wish you were here

Rock on the Range paid tribute to Chris Cornell with a video montage, audio from his performances and a special acoustic set by American rockers Stone Sour"
Latest news updates from major cities of India,Whether enough has been done to ensure the survival of many glorious buildings from the British era is a matter of debate
"Kerala - Latest news, Live Updates, Politics, Events",A man in an inebriated condition who wanted to quickly reach his house at Attingal from Kollam city late in the night on Sunday hit upon the idea of
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
International News,Mr. Mattis described the extremists as being trapped in a military vise that will squeeze them on both sides of the Syria—Iraq border.
"Latest Regional News, Politics, Events, Entertainment","Governor should ask AIADMK government to prove its majority in TN Assembly, says Stalin

On Monday, Dhinakaran slammed the merger and called it betrayal and selfish."
"Madurai - Latest News, Politics, Events, Entertainment",
"Chennai - Latest News, Politics, Events, Entertainment","As a few of us sat talking about Madras Week’s programmes and agreed one of the most interesting walks would be Govi Lenin’s Justice Party Trail in T Nagar, someone suggested that it wasn’t too late to do a Subramania Bharati Trail in Madras. That would include his house, the Triplicane Parthasarathy Temple, the Triplicane Beach, the Swadesamitran’s former office site, G Kasturi Iyengar’s guest house, and, most significant of all, the place where The India Printing Press was (a location that’s a"
"Trichy - Latest News, Politics, Events, Entertainment",
