Title,Article
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Kerala - Latest news, Live Updates, Politics, Events","Director-actor Sidharth Bharathan returns to the marquee after a gap with the curiously-titled Varnyathil Aashanka

Sanalkumar Sasidharan, one of the most successful ambassadors of independent cinema in Malayalam, on his new film ‘Unmadiyude Maranam’ and the space in which his films are born"
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Puducherry - Latest News, Politics, Events, Entertainment",
"Latest Regional News, Politics, Events, Entertainment","Rahul Gandhi inaugurates city's first Indira Canteen at Jayanagar

'Indira Canteen', aimed at serving the poor at subsidised rates, was inaugurated in Bengaluru on Wednesday by Congress vice president Rahul Gandhi.Mr. Gandhi, who had the first breakfast at the canteen in Jayanagar, said 'Indira Canteens' would serve the migrants who came to Bengaluru with a dream to build something. “No person in Bengaluru should ever go hungry and the canteens are a great means towards it,” he said, asking the government to give much attention to cleanliness and taste.Chief"
"Kochi - Latest News, Politics, Events, Entertainment",
வீடியோ News,
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Andhra Pradesh - Latest news, Live Updates, Politics, Events",They don’t want to wake up to another death or move out of their village
"India States - Latest news, Live Updates, Politics, Events","DD blacked out Tripura CM’s speech, says CPI(M)

The CPI(M) said on Tuesday that Tripura Chief Minister Manik Sarkar’s Independence Day speech was blacked out by Doordarshan and All India Radio. “Doordarshan and All India Radio had recorded his speech... However, they subsequently informed him that the speech could not be carried as it stood and asked him to ‘reshape’ it,” the party said in a statement. The act was reminiscent of the “Emergency days,” it said. “In fact, it goes beyond as it seeks to gag the elected Chief minister of a State."
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Students help clean walkers’ path

A pathway leading to the Garden Road from the farmers’ market in Charring Cross, which had become a hotspot for crime and a prime spot for tipplers to congregate after dark, is all set to get a new lease of life after a group of students from Mcgan’s Ooty School of Architecture took it upon themselves to clean up the path.So far, the students have painted most of the wall on one side of the pathway, with murals depicting messages about deforestation, alcoholism, road safety and wildlife.Before"
Author News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Trichy - Latest News, Politics, Events, Entertainment",
"Telangana - Latest news, Live Updates, Politics, Events","Tribal welfare students unfurl tricolour on Mt. Kilimanjaro

Mallesh Naini, 10th class student of Telangana Tribal Welfare Residential School, Asifabad, did his alma mater proud and joined a select group of students from the social and tribal welfare educational institutions who have defied underprivileged backgrounds and climbed some of the world’s highest mountains.Belonging to the Mannevar Primitive Tribal group (PGT), Mr. Naini, along with 13 other members from India and under the mentorship of mountaineer Sekhar Babu unfurled the 100-ft tricolour"
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"India Latest News, Live Updates, Politics, Governance, Law","Standoffs between Indian, Chinese troops in the region almost routine in the summer months"
"Madurai - Latest News, Politics, Events, Entertainment",
"Kolkata - Latest News, Politics, Events, Entertainment",
Latest news updates from major cities of India,"Rahul Gandhi inaugurates city's first Indira Canteen at Jayanagar

'Indira Canteen', aimed at serving the poor at subsidised rates, was inaugurated in Bengaluru on Wednesday by Congress vice president Rahul Gandhi.Mr. Gandhi, who had the first breakfast at the canteen in Jayanagar, said 'Indira Canteens' would serve the migrants who came to Bengaluru with a dream to build something. “No person in Bengaluru should ever go hungry and the canteens are a great means towards it,” he said, asking the government to give much attention to cleanliness and taste.Chief"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Karnataka - Latest news, Live Updates, Politics, Events","In Mysore State, the freedom struggle took a while longer

A slice of history that is unique in the annals of the freedom struggle in the region came to the fore amidst the patriotic fervour that marked the 70th anniversary of Indian independence on Tuesday. For, long after the rest of India attained freedom, which ushered in a modern democracy and rule of a representative government, Mysuru continued to witness political unrest seeking an end to the rule of the maharajas. Hence, the ‘freedom struggle’ in Mysuru continued past August 15, 1947, as"
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Chennai - Latest News, Politics, Events, Entertainment","What do you know about Campbellabad, I was asked the other day. Thinking I still knew the Political Geography I had once specialised in, “It’s a town in Pakistan,” I casually answered. Only to be told it’s a 300-year-old village in Tuticorin District. When my caller wanted to know whether what the locals had told him, that it was named after a Madras Governor, was correct, I was a little more careful. “I think Governor Campbell was some time later but let me check,” I hesitantly answered.So"
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
"Mangalore - Latest News, Politics, Events, Entertainment",
