Title,Article
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Mangalore - Latest News, Politics, Events, Entertainment",
"Trichy - Latest News, Politics, Events, Entertainment",
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Chennai - Latest News, Politics, Events, Entertainment","A splendid opportunity to discuss this was offered by the international seminar recently organised by IIT’s Department of Humanities and Social Sciences but was not taken. Instead, the unfortunately titled event, ‘Midnight’s Orphans’, took the academic route of literature, cinema, individual case studies etc.The question was raised at the curtain-raiser itself and answered with the official All-India Anglo-Indian Association view propagated by Frank Anthony pre-Independence. That view holds that"
"Karnataka - Latest news, Live Updates, Politics, Events","As his 75th birthday approaches, Dwarakeesh looks back and ahead. The small-made man from Mysuru has gone on to become a phenomenal success in Kannada films"
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Andhra Pradesh - Latest news, Live Updates, Politics, Events","Memorial for Yerpedu victims unveiled

The memorial for Yerpedu victims, who lost their lives when a truck ran over them near the Srikalahasthi Highway on April 21, was unveiled by Rashtriya Seva Samithi (RASS) general secretary G. Muniratnam at Munagalapalem on Wednesday. The event witnessed a steady stream of people, including those from the neighbouring villages, as they assembled to pay tributes to the deceased. The 30-ft memorial has the bust of a typical farmer with turban and wooden plough on his shoulder. It also has the"
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
