Title,Article
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
"India States - Latest news, Live Updates, Politics, Events","Militant, civilian killed in Anantnag shootout

One militant and a civilian were killed in a late-night shootout on Thursday in south Kashmir’s Anantnag, the police said on Friday.A police spokesman said an operation was launched at Herpora-Kanelwan-Karvel, Anantnag, on a specific input about the presence of three militants on Thursday night. “Militants fired on the search party, resulting in an exchange of fire. Around midnight, taking advantage of the darkness, two militants fired and managed to escape,” said the spokesman.The police said"
வீடியோ News,
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
International News,"More than two dozen Asian countries will agree to utilize social media to counter the spread of violent extremism in the region, according to a draft"
"Madurai - Latest News, Politics, Events, Entertainment",
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Karti Chidambaram challenges ‘lookout’ notice

No arrest or non-bailable warrant against him, hence the question of defying it does not arise, he tells Madras High Court."
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"Latest Regional News, Politics, Events, Entertainment","Gujarat Cong. MLAs call on Karnataka Governor

After over a week’s stay at Eagleton Resort on the outskirts of the city, Gujarat Congress legislators on Saturday called on Governor Vajubhai R. Vala at the Raj Bhavan. They demonstrated their unity before Mr. Vala, who also hails from Gujarat, and held discussions with him for over 30 minutes.The legislators came to the Raj Bhavan in a Karnataka State Road Transport Corporation luxury bus amidst tight police security. They visited the Vidhana Soudha and took photos of themselves standing in"
"Andhra Pradesh - Latest news, Live Updates, Politics, Events",They don’t want to wake up to another death or move out of their village
"Kolkata - Latest News, Politics, Events, Entertainment",
"Puducherry - Latest News, Politics, Events, Entertainment",
